WOJ,POW,NAZWA
2,10,Henryków Lubański
2,3,Ruszowice
2,8,Nagodzice
2,8,Szklarnia
2,19,Biała
2,19,Marcinowice
2,19,Mysłaków
2,7,Ptaszków
2,7,Rędziny
2,7,Błażkowa
2,7,Chełmsko Śląskie
2,12,Kwieciszowice
2,12,Mlądz
2,12,Proszowa
2,12,Bełczyna
2,16,Wilczyn
2,16,Komorniki
2,10,Platerówka
2,12,Marczów
2,21,Borówno
2,21,Czarny Bór
2,18,Proszków
2,18,Damianowo
2,18,Gościsław
2,18,Jarostów
2,14,Spalice
2,14,Wszechświęte
2,14,Zimnica
2,9,Lubień
2,2,Owiesno
2,2,Tuszyn
2,2,Uciechów
2,2,Ligota Wielka
2,11,Bukowna
2,11,Gorzelin
2,11,Gorzyca
2,20,Biedaszków Mały
2,12,Popielówek
2,12,Wojciechów
2,4,Masełkowice
2,4,Miechów
2,20,Barkowo
2,4,Śleszów
2,4,Bogucin
2,7,Lipienica
2,1,Chościszowice
2,1,Ocice
2,12,Brunów
2,12,Gradówek
2,12,Pieszków
2,12,Płóczki Dolne
2,17,Miłocice
2,8,Wójtowice
2,8,Gorzuchów
2,8,Marcinów
2,8,Mikowice
2,8,Szalejów Dolny
2,18,Piersno
2,17,Stachów
2,2,Sokolniki
2,3,Bukwica
2,13,Tworzymirki Górne
2,13,Wielgie Milickie
2,17,Biały Kościół
2,15,Bolechów
2,15,Jaczkowice
2,14,Goszcz
2,24,Jasienica
2,24,Witostowice
2,24,Mąkolno
2,25,Białopole
2,24,Opolnica
2,24,Potworów
2,24,Cienkowice
2,19,Rogoźnica
2,19,Rusko
2,19,Stanowice
2,19,Bystrzyca Dolna
2,19,Grodziszcze
2,19,Modliszów
2,19,Panków
2,19,Pogorzała
2,9,Nowa Wieś Legnicka
2,10,Pobiedna
2,18,Mazurowice
2,18,Rusko
2,18,Szymanów
2,20,Brzezie
2,20,Biedaszków Wielki
2,14,Dąbrowa
2,20,Piersno
2,20,Szczytkowice
2,19,Wiśniowa
2,19,Witoszów Dolny
2,19,Buków
2,21,Głuszyca Górna
2,23,Chwałów
2,23,Dzikowa
2,23,Mietków
2,23,Stary Zamek
2,23,Sulistrowice
2,23,Świątniki
2,23,Żerzuszyce
2,10,Smolnik
2,13,Brzezina
2,13,Cieszków
2,13,Dziewiętlin
2,13,Luboradów
2,20,Ludgierzowice
2,22,Uskorz Wielki
2,17,Rochowice
2,17,Świnobród
2,17,Brochocinek
2,17,Janowiczki
2,23,Krakowiany
2,23,Łosice
2,23,Bratowice
2,23,Jarosławice
2,5,Lipa
2,10,Radogoszcz
2,15,Kuchary
2,23,Polakowice
2,5,Słup
2,5,Grzegorzów
2,5,Marcinowice
2,5,Jakuszowa
2,1,Suszki
2,1,Krzyżowa
2,5,Zębowice
2,5,Postolice
2,15,Chwałowice
2,15,Dziuplina
2,8,Ludwikowice Kłodzkie
2,8,Nowa Wieś Kłodzka
2,23,Krobielowice
2,23,Krzeptów
2,23,Nowa Wieś Kącka
2,23,Wojkowice
2,15,Janików
2,15,Marcinkowice
2,15,Niemil
2,15,Psary
2,15,Stary Górnik
2,8,Sokolica
2,8,Włodowice
2,23,Mirków
2,23,Pruszowice
2,23,Ramiszów
2,23,Biskupice
2,23,Glinica
2,8,Pławnica
2,8,Tłumaczów
2,8,Bielice
2,8,Bolesławów
2,8,Kletno
2,8,Młynowiec
2,8,Strachocin
2,14,Chełstówek
2,14,Drągów
2,3,Jerzmanowa
2,11,Dłużyce
2,11,Ręszów
2,11,Sitno
2,13,Żeleźniki
2,25,Wrociszów Dolny
2,24,Rososznica
2,24,Wadochowice
2,24,Chwalisław
2,24,Laski
2,25,Opolno-Zdrój
2,25,Porajów
2,25,Posada
2,5,Płonina
2,24,Ciepłowody
2,24,Jakubów
2,24,Muszkowice
2,13,Olsza
2,5,Piotrowice
2,5,Przybyłowice
2,5,Zimnik
2,5,Kwietniki
2,5,Granowice
2,15,Miłocice
2,23,Szukalice
2,23,Turów
2,15,Miłonów
2,15,Niwnik
2,15,Osiek
2,15,Owczary
2,15,Ścinawa Polska
2,15,Zabardowice
2,24,Brzeźnica
2,23,Strzeganowice
2,23,Wszemiłowice
2,23,Budziszów
2,23,Chrzanów
2,23,Cieszyce
2,23,Pełczyce
2,25,Mała Wieś Dolna
2,14,Nowa Wieś Goszczańska
2,14,Olszówka
2,24,Kluczowa
2,24,Pawłowice
2,24,Grodziszcze
2,24,Przedborowa
2,24,Stoszowice
2,19,Strzelce
2,9,Goślinów
2,9,Studnica
2,20,Piekary
2,20,Wilczyn
2,24,Brukalice
2,20,Lubnów
2,14,Dziadów Most
2,16,Obiszów
2,20,Domanowice
2,20,Koniowo
2,26,Twardocice
2,26,Gozdno
2,26,Podgórki
2,6,Siedlęcin
2,13,Dunkowa
2,22,Buszkowice Małe
2,22,Dąbie
2,21,Nowe Bogaczowice
2,23,Dąbrowica
2,4,Stara Góra
2,4,Wierzowice Wielkie
2,4,Cieszyny
2,4,Daszów
2,6,Kostrzyca
2,7,Stara Białka
2,7,Szczepanów
2,7,Wieściszowice
2,14,Posadowice
2,14,Sątok
2,14,Wabienice
2,22,Domaszków
2,22,Pełczyn
